x_ft,y_ft,lux
78.760556,44.266162,2.217427
79.771990,44.266162,2.475818
80.783424,44.266162,2.779743
81.794859,44.266162,3.139282
82.806293,44.266162,3.566889
83.817727,44.266162,4.077754
84.829162,44.266162,4.689937
85.840596,44.266162,5.423881
86.852030,44.266162,6.300533
87.863465,44.266162,7.336702
88.874899,44.266162,8.535593
89.886333,44.266162,9.870463
90.897768,44.266162,11.262107
91.909202,44.266162,12.559811
92.920636,44.266162,13.549404
93.932071,44.266162,14.013962
94.943505,44.266162,13.834497
95.954939,44.266162,13.058371
96.966374,44.266162,11.871049
97.977808,44.266162,10.498888
98.989242,44.266162,9.124942
57.520434,45.921212,0.501966
58.531869,45.921212,0.526951
59.543303,45.921212,0.554012
60.554737,45.921212,0.583387
61.566172,45.921212,0.615354
62.577606,45.921212,0.650229
63.589040,45.921212,0.688379
64.600475,45.921212,0.730230
65.611909,45.921212,0.776279
66.623343,45.921212,0.827106
67.634778,45.921212,0.883394
68.646212,45.921212,0.945951
69.657646,45.921212,1.015733
70.669081,45.921212,1.093884
71.680515,45.921212,1.181775
72.691949,45.921212,1.281061
73.703384,45.921212,1.393750
74.714818,45.921212,1.522295
75.726253,45.921212,1.669708
76.737687,45.921212,1.839716
77.749121,45.921212,2.036950
78.760556,45.921212,2.267208
79.771990,45.921212,2.537779
80.783424,45.921212,2.857865
81.794859,45.921212,3.239112
82.806293,45.921212,3.696234
83.817727,45.921212,4.247702
84.829162,45.921212,4.916330
85.840596,45.921212,5.729361
86.852030,45.921212,6.717185
87.863465,45.921212,7.908880
88.874899,45.921212,9.321454
89.886333,45.921212,10.938510
90.897768,45.921212,12.676204
91.909202,45.921212,14.346498
92.920636,45.921212,15.653950
93.932071,45.921212,16.278095
94.943505,45.921212,16.036124
95.954939,45.921212,15.001341
96.966374,45.921212,13.453672
97.977808,45.921212,11.716307
98.989242,45.921212,10.029334
100.000677,45.921212,8.519807
101.012111,45.921212,7.229665
57.520434,47.576263,0.504266
58.531869,47.576263,0.529314
59.543303,47.576263,0.556440
60.554737,47.576263,0.585884
61.566172,47.576263,0.617924
62.577606,47.576263,0.652876
63.589040,47.576263,0.691110
64.600475,47.576263,0.733051
65.611909,47.576263,0.779199
66.623343,47.576263,0.830134
67.634778,47.576263,0.886544
68.646212,47.576263,0.949236
69.657646,47.576263,1.019172
70.669081,47.576263,1.097501
71.680515,47.576263,1.185598
72.691949,47.576263,1.285128
73.703384,47.576263,1.398109
74.714818,47.576263,1.527008
75.726253,47.576263,1.674856
76.737687,47.576263,1.845406
77.749121,47.576263,2.043328
78.760556,47.576263,2.274468
79.771990,47.576263,2.546189
80.783424,47.576263,2.867796
81.794859,47.576263,3.251084
82.806293,47.576263,3.710987
83.817727,47.576263,4.266300
84.829162,47.576263,4.940309
85.840596,47.576263,5.760956
86.852030,47.576263,6.759623
87.863465,47.576263,7.966729
88.874899,47.576263,9.400887
89.886333,47.576263,11.047088
90.897768,47.576263,12.821406
91.909202,47.576263,14.532109
92.920636,47.576263,15.874768
93.932071,47.576263,16.516835
94.943505,47.576263,16.267844
95.954939,47.576263,15.204225
96.966374,47.576263,13.617102
97.977808,47.576263,11.840675
98.989242,47.576263,10.121044
100.000677,47.576263,8.586677
101.012111,47.576263,7.278572
102.023545,47.576263,6.189747
57.520434,49.231313,0.504937
58.531869,49.231313,0.529853
59.543303,49.231313,0.556820
60.554737,49.231313,0.586076
61.566172,49.231313,0.617890
62.577606,49.231313,0.652574
63.589040,49.231313,0.690487
64.600475,49.231313,0.732045
65.611909,49.231313,0.777733
66.623343,49.231313,0.828116
67.634778,49.231313,0.883860
68.646212,49.231313,0.945747
69.657646,49.231313,1.014704
70.669081,49.231313,1.091837
71.680515,49.231313,1.178466
72.691949,49.231313,1.276181
73.703384,49.231313,1.386902
74.714818,49.231313,1.512968
75.726253,49.231313,1.657234
76.737687,49.231313,1.823214
77.749121,49.231313,2.015248
78.760556,49.231313,2.238725
79.771990,49.231313,2.500361
80.783424,49.231313,2.808543
81.794859,49.231313,3.173741
82.806293,49.231313,3.608970
83.817727,49.231313,4.130226
84.829162,49.231313,4.756722
85.840596,49.231313,5.510524
86.852030,49.231313,6.414786
87.863465,49.231313,7.489099
88.874899,49.231313,8.739647
89.886333,49.231313,10.141629
90.897768,49.231313,11.614127
91.909202,49.231313,12.997358
92.920636,49.231313,14.058814
93.932071,49.231313,14.559119
94.943505,49.231313,14.365734
95.954939,49.231313,13.531508
96.966374,49.231313,12.262152
97.977808,49.231313,10.805427
98.989242,49.231313,9.357694
100.000677,49.231313,8.033510
101.012111,49.231313,6.879590
102.023545,49.231313,5.901012
103.034980,49.231313,5.082594
104.046414,49.231313,4.401964
57.520434,50.886364,0.504020
58.531869,50.886364,0.528616
59.543303,50.886364,0.555210
60.554737,50.886364,0.584029
61.566172,50.886364,0.615332
62.577606,50.886364,0.649415
63.589040,50.886364,0.686621
64.600475,50.886364,0.727344
65.611909,50.886364,0.772042
66.623343,50.886364,0.821248
67.634778,50.886364,0.875585
68.646212,50.886364,0.935783
69.657646,50.886364,1.002704
70.669081,50.886364,1.077366
71.680515,50.886364,1.160980
72.691949,50.886364,1.254991
73.703384,50.886364,1.361133
74.714818,50.886364,1.481491
75.726253,50.886364,1.618590
76.737687,50.886364,1.775490
77.749121,50.886364,1.955920
78.760556,50.886364,2.164423
79.771990,50.886364,2.406544
80.783424,50.886364,2.689035
81.794859,50.886364,3.020061
82.806293,50.886364,3.409385
83.817727,50.886364,3.868409
84.829162,50.886364,4.409919
85.840596,50.886364,5.047169
86.852030,50.886364,5.791754
87.863465,50.886364,6.649394
88.874899,50.886364,7.612644
89.886333,50.886364,8.650141
90.897768,50.886364,9.694456
91.909202,50.886364,10.635692
92.920636,50.886364,11.333297
93.932071,50.886364,11.655020
94.943505,50.886364,11.531316
95.954939,50.886364,10.989647
96.966374,50.886364,10.140504
97.977808,50.886364,9.127051
98.989242,50.886364,8.076024
100.000677,50.886364,7.073964
101.012111,50.886364,6.167084
102.023545,50.886364,5.372096
103.034980,50.886364,4.688097
104.046414,50.886364,4.105454
105.057848,50.886364,3.611293
106.069283,50.886364,3.192448
57.520434,52.541414,0.501596
58.531869,52.541414,0.525697
59.543303,52.541414,0.551718
60.554737,52.541414,0.579873
61.566172,52.541414,0.610401
62.577606,52.541414,0.643582
63.589040,52.541414,0.679730
64.600475,52.541414,0.719211
65.611909,52.541414,0.762445
66.623343,52.541414,0.809919
67.634778,52.541414,0.862196
68.646212,52.541414,0.919936
69.657646,52.541414,0.983908
70.669081,52.541414,1.055012
71.680515,52.541414,1.134312
72.691949,52.541414,1.223058
73.703384,52.541414,1.322735
74.714818,52.541414,1.435102
75.726253,52.541414,1.562252
76.737687,52.541414,1.706673
77.749121,52.541414,1.871329
78.760556,52.541414,2.059737
79.771990,52.541414,2.276054
80.783424,52.541414,2.525145
81.794859,52.541414,2.812619
82.806293,52.541414,3.144777
83.817727,52.541414,3.528385
84.829162,52.541414,3.970146
85.840596,52.541414,4.475641
86.852030,52.541414,5.047470
87.863465,52.541414,5.682278
88.874899,52.541414,6.366548
89.886333,52.541414,7.071690
90.897768,52.541414,7.750240
91.909202,52.541414,8.336664
92.920636,52.541414,8.756777
93.932071,52.541414,8.946577
94.943505,52.541414,8.874040
95.954939,52.541414,8.551693
96.966374,52.541414,8.031573
97.977808,52.541414,7.386029
98.989242,52.541414,6.686270
100.000677,52.541414,5.988437
101.012111,52.541414,5.329330
102.023545,52.541414,4.728653
103.034980,52.541414,4.193754
104.046414,52.541414,3.724271
105.057848,52.541414,3.315674
106.069283,52.541414,2.961595
107.080717,52.541414,2.655203
108.092152,52.541414,2.389945
57.520434,54.196465,0.497778
58.531869,54.196465,0.521229
59.543303,54.196465,0.546502
60.554737,54.196465,0.573791
61.566172,54.196465,0.603317
62.577606,54.196465,0.635333
63.589040,54.196465,0.670124
64.600475,54.196465,0.708018
65.611909,54.196465,0.749391
66.623343,54.196465,0.794673
67.634778,54.196465,0.844360
68.646212,54.196465,0.899024
69.657646,54.196465,0.959329
70.669081,54.196465,1.026040
71.680515,54.196465,1.100049
72.691949,54.196465,1.182393
73.703384,54.196465,1.274277
74.714818,54.196465,1.377106
75.726253,54.196465,1.492511
76.737687,54.196465,1.622387
77.749121,54.196465,1.768919
78.760556,54.196465,1.934610
79.771990,54.196465,2.122290
80.783424,54.196465,2.335100
81.794859,54.196465,2.576412
82.806293,54.196465,2.849671
83.817727,54.196465,3.158077
84.829162,54.196465,3.504046
85.840596,54.196465,3.888360
86.852030,54.196465,4.308910
87.863465,54.196465,4.759027
88.874899,54.196465,5.225568
89.886333,54.196465,5.687273
90.897768,54.196465,6.114359
91.909202,54.196465,6.470616
92.920636,54.196465,6.718878
93.932071,54.196465,6.829253
94.943505,54.196465,6.787369
95.954939,54.196465,6.598804
96.966374,54.196465,6.287337
97.977808,54.196465,5.887962
98.989242,54.196465,5.438198
100.000677,54.196465,4.971175
101.012111,54.196465,4.512063
102.023545,54.196465,4.077503
103.034980,54.196465,3.676843
104.046414,54.196465,3.314018
105.057848,54.196465,2.989368
106.069283,54.196465,2.701081
107.080717,54.196465,2.446229
108.092152,54.196465,2.221424
109.103586,54.196465,2.023235
110.115020,54.196465,1.848401
57.520434,55.851515,0.492709
58.531869,55.851515,0.515380
59.543303,55.851515,0.539755
60.554737,55.851515,0.566012
61.566172,55.851515,0.594348
62.577606,55.851515,0.624986
63.589040,55.851515,0.658179
64.600475,55.851515,0.694215
65.611909,55.851515,0.733419
66.623343,55.851515,0.776162
67.634778,55.851515,0.822866
68.646212,55.851515,0.874011
69.657646,55.851515,0.930149
70.669081,55.851515,0.991906
71.680515,55.851515,1.060002
72.691949,55.851515,1.135254
73.703384,55.851515,1.218598
74.714818,55.851515,1.311094
75.726253,55.851515,1.413942
76.737687,55.851515,1.528490
77.749121,55.851515,1.656234
78.760556,55.851515,1.798808
79.771990,55.851515,1.957955
80.783424,55.851515,2.135463
81.794859,55.851515,2.333055
82.806293,55.851515,2.552211
83.817727,55.851515,2.793882
84.829162,55.851515,3.058092
85.840596,55.851515,3.343376
86.852030,55.851515,3.646091
87.863465,55.851515,3.959636
88.874899,55.851515,4.273776
89.886333,55.851515,4.574333
90.897768,55.851515,4.843653
91.909202,55.851515,5.062204
92.920636,55.851515,5.211366
93.932071,55.851515,5.276936
94.943505,55.851515,5.252287
95.954939,55.851515,5.139977
96.966374,55.851515,4.951118
97.977808,55.851515,4.702782
98.989242,55.851515,4.414494
100.000677,55.851515,4.105027
101.012111,55.851515,3.790242
102.023545,55.851515,3.482149
103.034980,55.851515,3.188916
104.046414,55.851515,2.915421
105.057848,55.851515,2.664016
106.069283,55.851515,2.435271
107.080717,55.851515,2.228591
108.092152,55.851515,2.042693
109.103586,55.851515,1.875935
110.115020,55.851515,1.726541
111.126455,55.851515,1.592736
112.137889,55.851515,1.472831
57.520434,57.506566,0.486555
58.531869,57.506566,0.508339
59.543303,57.506566,0.531700
60.554737,57.506566,0.556795
61.566172,57.506566,0.583795
62.577606,57.506566,0.612897
63.589040,57.506566,0.644317
64.600475,57.506566,0.678301
65.611909,57.506566,0.715124
66.623343,57.506566,0.755096
67.634778,57.506566,0.798564
68.646212,57.506566,0.845922
69.657646,57.506566,0.897610
70.669081,57.506566,0.954123
71.680515,57.506566,1.016016
72.691949,57.506566,1.083909
73.703384,57.506566,1.158489
74.714818,57.506566,1.240518
75.726253,57.506566,1.330826
76.737687,57.506566,1.430307
77.749121,57.506566,1.539906
78.760556,57.506566,1.660591
79.771990,57.506566,1.793306
80.783424,57.506566,1.938907
81.794859,57.506566,2.098053
82.806293,57.506566,2.271059
83.817727,57.506566,2.457698
84.829162,57.506566,2.656940
85.840596,57.506566,2.866648
86.852030,57.506566,3.083248
87.863465,57.506566,3.301431
88.874899,57.506566,3.513997
89.886333,57.506566,3.711954
90.897768,57.506566,3.885018
91.909202,57.506566,4.022573
92.920636,57.506566,4.115042
93.932071,57.506566,4.155399
94.943505,57.506566,4.140437
95.954939,57.506566,4.071389
96.966374,57.506566,3.953684
97.977808,57.506566,3.795932
98.989242,57.506566,3.608465
100.000677,57.506566,3.401862
101.012111,57.506566,3.185784
102.023545,57.506566,2.968273
103.034980,57.506566,2.755480
104.046414,57.506566,2.551728
105.057848,57.506566,2.359761
106.069283,57.506566,2.181067
107.080717,57.506566,2.016197
108.092152,57.506566,1.865052
109.103586,57.506566,1.727105
110.115020,57.506566,1.601574
111.126455,57.506566,1.487544
112.137889,57.506566,1.384048
113.149323,57.506566,1.290129
57.520434,59.161616,0.479493
58.531869,59.161616,0.500311
59.543303,59.161616,0.522573
60.554737,59.161616,0.546414
61.566172,59.161616,0.571981
62.577606,59.161616,0.599440
63.589040,59.161616,0.628975
64.600475,59.161616,0.660790
65.611909,59.161616,0.695110
66.623343,59.161616,0.732189
67.634778,59.161616,0.772305
68.646212,59.161616,0.815768
69.657646,59.161616,0.862918
70.669081,59.161616,0.914132
71.680515,59.161616,0.969821
72.691949,59.161616,1.030434
73.703384,59.161616,1.096452
74.714818,59.161616,1.168390
75.726253,59.161616,1.246785
76.737687,59.161616,1.332186
77.749121,59.161616,1.425130
78.760556,59.161616,1.526119
79.771990,59.161616,1.635567
80.783424,59.161616,1.753750
81.794859,59.161616,1.880720
82.806293,59.161616,2.016202
83.817727,59.161616,2.159472
84.829162,59.161616,2.309213
85.840596,59.161616,2.463360
86.852030,59.161616,2.618974
87.863465,59.161616,2.772157
88.874899,59.161616,2.918071
89.886333,59.161616,3.051108
